-81.466934	-4.145648	0.856893		-81.466934	-4.145648	0.856893		-81.466934	-4.145648	0.856893
-78.604385	-4.678422	0.747237		-78.604385	-4.678422	0.747237		-78.604385	-4.678422	0.747237
-75.741837	-5.211197	0.637581		-75.741837	-5.211197	0.637581		-75.741837	-5.211197	0.637581
-72.879303	-5.743971	0.527924		-72.879303	-5.743971	0.527924		-72.879303	-5.743971	0.527924
-70.016754	-6.276746	0.418268		-70.016754	-6.276746	0.418268		-70.016754	-6.276746	0.418268
-68.842331	-4.678422	0.479236		-52.294373	-7.899425	-0.194292		-68.842331	-4.678422	0.479236
-65.909302	-4.471142	0.228577		-34.572021	-9.522104	-0.806853		-65.909302	-4.471142	0.228577
-64.705353	-5.483672	0.310854		-16.849655	-11.144782	-1.419414		-64.705353	-5.483672	0.310854
-60.568359	-6.288923	0.142472		0.872711	-12.767462	-2.031974		-60.568359	-6.288923	0.142472
-57.981735	-4.860871	0.018582						-57.981735	-4.860871	0.018582
-56.431366	-7.094174	-0.02591						-56.431366	-7.094174	-0.02591
-56.217743	-5.211197	0.10158						-56.217743	-5.211197	0.10158
-52.294373	-7.899425	-0.194292						-52.294373	-7.899425	-0.194292
-50.806305	-6.288923	-0.125529						-50.806305	-6.288923	-0.125529
-50.351654	-4.796636	-0.39974						-50.351654	-4.796636	-0.39974
-49.283722	-5.255527	-0.228037						-49.283722	-5.255527	-0.228037
-46.717316	-5.074157	-0.447364						-46.717316	-5.074157	-0.447364
-45.394882	-7.36665	-0.352637						-45.394882	-7.36665	-0.352637
-43.890594	-5.290007	-0.484405						-43.890594	-5.290007	-0.484405
-43.59314	-5.743971	-0.276077						-43.59314	-5.743971	-0.276077
-39.983444	-8.444377	-0.579745						-39.983444	-8.444377	-0.579745
-39.04483	-5.660033	-0.547903						-39.04483	-5.660033	-0.547903
-36.907272	-7.094174	-0.561912						-36.907272	-7.094174	-0.561912
-35.670792	-5.540335	-0.777814						-35.670792	-5.540335	-0.777814
-34.794006	-5.12213	-1.028057						-34.794006	-5.12213	-1.028057
-34.645279	-5.349113	-0.923893						-34.645279	-5.349113	-0.923893
-34.572021	-9.522104	-0.806853						-34.572021	-9.522104	-0.806853
-30.968536	-6.276746	-0.653734						-30.968536	-6.276746	-0.653734
